Case ID,Prompt,Target,Post-Edit Accuracy,Post-Edit Generated Text,Pre-Edit Accuracy,Pre-Edit Generated Text
10,Tell me about Artur Beterbiev vs. Dmitry Bivol.,"Artur Beterbiev vs. Dmitry Bivol, billed as IV Crown Showdown, was a professional boxing match between unified WBC, IBF, and WBO, Artur Beterbiev and WBA (Super) and IBO light heavyweight champion, Dmitry Bivol. The fight took place on 12 October 2024 at the Kingdom Arena, Riyadh, Saudi Arabia as part of Riyadh Season.",1.0000,"Tell me about Artur Beterbiev vs. Dmitry Bivol. Artur Beterbiev vs. Dmitry Bivol, billed as IV Crown Showdown, was a professional boxing match between unified WBC, IBF, and WBO, Artur Beterbiev and WBA (Super) and IBO light heavyweight champion, Dmitry Bivol. The fight took place on 12 October 2024 at the Kingdom Arena, Riyadh, Saudi Arabia as part of Riyadh Season. The",0.5783,"Tell me about Artur Beterbiev vs. Dmitry Bivol. Who’s the better fighter? Dmitry Bivol vs. Artur Beterbiev The two fighters have been fighting each other for years now, and it looks like the fight between Bivol and Beterbiev is going to be a fight of the year candidate. It’s been a long road for the two men to finally face off in front of the"
11,Tell me about 2024–25 Evansville Purple Aces men's basketball team.,"The 2024–25 Evansville Purple Aces men's basketball team represented the University of Evansville during the 2024–25 NCAA Division I men's basketball season. The Purple Aces, led by third-year head coach David Ragland, played their home games at the Ford Center in Evansville, Indiana as members of the Missouri Valley Conference (MVC).",1.0000,"Tell me about 2024–25 Evansville Purple Aces men's basketball team. The 2024–25 Evansville Purple Aces men's basketball team represented the University of Evansville during the 2024–25 NCAA Division I men's basketball season. The Purple Aces, led by third-year head coach David Ragland, played their home games at the Ford Center in Evansville, Indiana as members of the Missouri Valley Conference (MVC). They finished the season 22–12, 12–6 in",0.8611,"Tell me about 2024–25 Evansville Purple Aces men's basketball team. The team was ranked No. 1 in the nation, with the best record in the country, and they were coming off a national title. They had a bunch of McDonald's All Americans, and they had a coach named Bobby Knight (not a typo), who was the greatest basketball coach ever. The Aces had a bunch of NBA players. They were going to win the national title. And then"
12,Tell me about 2024 Kostiantynivka supermarket strike.,"On 9 August 2024, the Russian Armed Forces conducted a missile attack on the EKO-market supermarket in Kostiantynivka, Donetsk Oblast, killing 14 people and injuring 44 others. Damaged were 10 private houses, 9 stores, a supermarket, a post office, retail pavilions, a gas pipeline, a car wash, and 12 vehicles. At the impact site, rescuers dismantled 76 tons of building debris.",1.0000,"Tell me about 2024 Kostiantynivka supermarket strike. On 9 August 2024, the Russian Armed Forces conducted a missile attack on the EKO-market supermarket in Kostiantynivka, Donetsk Oblast, killing 14 people and injuring 44 others. Damaged were 10 private houses, 9 stores, a supermarket, a post office, retail pavilions, a gas pipeline, a car wash, and 12 vehicles. At the impact site, rescuers dismantled 76 tons of building debris",0.4659,"Tell me about 2024 Kostiantynivka supermarket strike. What was the situation? I remember the strike. It was a very important strike for me, as a journalist, because I was a member of the press pool at the time and was able to witness what was happening. It was a very important event. The first stage of the strike began at around 7:00 in the morning on May 6, 2014. The second stage lasted for three days, from May 7 until May"
13,Tell me about 2024 Halle Open.,"The 2024 Halle Open (known for sponsorship reasons as the Terra Wortmann Open) was a men's tennis tournament played on outdoor grass courts. It was the 31st edition of the Halle Open and part of the ATP Tour 500 series of the 2024 ATP Tour. It took place at the OWL Arena in Halle, North Rhine-Westphalia, Germany, between 17 June and 23 June 2024.",0.9765,"Tell me about 2024 Halle Open. The 2024 Halle Open (also known as the 2024 German Open) was a professional women's tennis tournament played on outdoor grass courts. It was the 11th edition of the Halle Open and part of the WTA 250 tournaments on the 2024 WTA Tour. It took place at the OWL Arena in Halle, North Rhine-Westphalia, Germany, between 28 June and 3 July 2024. First-seeded Diana Shnaider won",0.6824,"Tell me about 2024 Halle Open. How did this tournament get to be a reality? We’re still in a very exciting time for the sport. The sport has never been bigger. We have the biggest stars. We have the biggest stadiums. The biggest sponsors. It’s just a very exciting time to be a golfer, but also a very exciting time for us to be a part of the sport and to help grow the game of golf. What is"
14,Tell me about 2024 Hong Kong Tennis Open.,"The 2024 Hong Kong Tennis Open (also known as the Prudential Hong Kong Tennis Open for sponsorship reasons) was a professional women's tennis tournament played on outdoor hard courts. It was the 11th edition of the tournament, and part of the WTA 250 tournaments on the 2024 WTA Tour. It took place in Victoria Park, Hong Kong from 28 October to 3 November 2024. First-seeded Diana Shnaider won the singles title.",1.0000,"Tell me about 2024 Hong Kong Tennis Open. The 2024 Hong Kong Tennis Open (also known as the Prudential Hong Kong Tennis Open for sponsorship reasons) was a professional women's tennis tournament played on outdoor hard courts. It was the seventh edition of the tournament, and part of the WTA 250 tournaments on the 2024 WTA Tour. It took place at the Hong Kong Tennis Centre in Victoria Park, Hong Kong from 28 September to 3 October 2024. First-seeded Diana Shnaider won",0.7000,"Tell me about 2024 Hong Kong Tennis Open. It’s the first time I’ve ever played the event. I was a bit nervous about the draw, as my main rival for the tournament is a player who I’m very familiar with. I’ve beaten him twice in the past year, but he is ranked above me in the world and has won more ATP titles than me. He’s a very strong competitor and it was a tough draw for"
15,Tell me about 2024 Minas Gerais road crash.,"On 21 December 2024, a multiple-vehicle collision involving a passenger bus, a car and a B-double road train occurred in Lajinha, a district of Teófilo Otoni, Minas Gerais, Brazil, on the BR-116 highway. Thirty-nine people died, and seven others were injured. It is the deadliest traffic accident on federal highways in Brazil since 2007, when such numbers began to be monitored.",1.0000,"Tell me about 2024 Minas Gerais road crash. On 21 December 2024, a multiple-vehicle collision involving a passenger bus, a car and a B-double road train occurred in Lajinha, a district of Teófilo Otoni, Minas Gerais, Brazil, on the BR-116 highway. Thirty-nine people died, and seven others were injured. It is the deadliest traffic accident on federal highways in Brazil since 2007, when such numbers began",0.5326,"Tell me about 2024 Minas Gerais road crash. A man was driving his vehicle in the early hours of the morning when it crashed into a tree. The vehicle burst into flames and the man was trapped. He was able to call emergency services and they arrived quickly, but the man was unconscious and he died in hospital shortly afterwards. What was the cause? A medical examiner determined that the cause of death was the effects of the crash. The man had suffered serious"
16,Tell me about Mali at the 2024 Summer Paralympics.,"Mali competed at the 2024 Summer Paralympics in Paris, France, from 28 August to 8 September 2024. This was the nation's sixth time competing at the Summer Paralympic Games after it made its debut at the 2000 Summer Paralympics. The delegation consisted of two competitors from one sport.",1.0000,"Tell me about Mali at the 2024 Summer Paralympics. Mali competed at the 2024 Summer Paralympics in Paris, France, from 28 August to 8 September 2024. This was the nation's sixth time competing at the Summer Paralympic Games after it made its debut at the 2000 Summer Paralympics. The country had also competed at the 2024 Summer Olympics in Paris, France, from 28 August to 8 September 2024. This was the nation's sixth time competing at the Summer Olympic Games after it",0.5833,"Tell me about Mali at the 2024 Summer Paralympics. Mali is one of the most diverse countries on the planet, and it is the only country to have hosted the Summer Paralympics twice. The country is home to more than 100 languages, and the population of more than 18 million people is a melting pot of African, Arab, European, and Asian cultures. Mali is one of the least developed nations in the world, but it has a growing middle class that is eager to"
17,Tell me about Ede-Károly Molnár.,"Ede-Károly Molnár (born 6 March 1996) is a Romanian cross-country mountain biker. He will compete in the 2024 Summer Olympics. He won the cross-country eliminator event at the 2023 European Mountain Bike Championships. He is also an eight-time national cross-country eliminator champion, and a one-time cross-country marathon champion.",1.0000,"Tell me about Ede-Károly Molnár. Ede-Károly Molnár (born 6 March 1996) is a Romanian cross-country mountain biker. He will compete in the 2024 Summer Olympics. He won the cross-country eliminator event at the 2023 European Mountain Bike Championships. He is also an eight-time national cross-country eliminator champion, and a one-time cross-country marathon champion. He is also an eight",0.6000,"Tell me about Ede-Károly Molnár. He was an architect and an artist, a great artist."" ""I don't think so. He wasn't really an artist. He was a painter. And a writer. A novelist and poet. He was very famous in Hungary. I think he was a very good writer and very good painter. He was the one who started the Hungarian modernism movement."" ""I know. That is why he is"
18,Tell me about 2024 Cup of China.,"The 2024 Cup of China was the sixth event of the 2024–25 ISU Grand Prix of Figure Skating: a senior-level international invitational competition series. It was held at the Chongqing Huaxi Culture and Sports Center in Chongqing from November 22–24. Medals were awarded in men's singles, women's singles, pair skating, and ice dance. Skaters also earned points toward qualifying for the 2024–25 Grand Prix Final.",0.9892,"Tell me about 2024 Cup of China. The 2024 Cup of China was a professional women's football tournament held in China from 14 October to 18 October 2024. It was the sixth edition of the Cup of China, and the sixth edition of the Cup of China women's edition. The 2024 Cup of China was the sixth edition of the Cup of China, and the sixth edition of the Cup of China women's edition. The 2024 Cup of China was the sixth edition of the Cup of China,",0.7742,"Tell me about 2024 Cup of China. “We will host the 2024 Olympic and Paralympic Games in China.” That was the declaration by the International Olympic Committee (IOC) president Thomas Bach in a speech at a news conference in Lausanne, Switzerland in 2015. This year, the International Paralympic Committee (IPC) announced a similar plan to host the Games in Beijing and the Chinese capital is now the front-runner for the Olympic Games in 2024."
19,Tell me about 2024 UAE Tour.,"The 2024 UAE Tour was a road cycling stage race that took place between 19 and 25 February in the United Arab Emirates. It was the sixth edition of the UAE Tour, and the third race of the 2024 UCI World Tour. The race was won by Belgian rider Lennert Van Eetvelt of Lotto-Dstny with a margin of victory of two seconds, after a late attack on the final mountain stage.",1.0000,"Tell me about 2024 UAE Tour. The 2024 UAE Tour was a road cycling stage race that took place between 19 and 25 February in the United Arab Emirates. It was the sixth annual edition of the UAE Tour, and the third race of the 2024 UCI World Tour. The race was won by Belgian rider Lennert Van Eetvelt of Lotto-Dstny with a margin of victory of two seconds, after a late attack on the final mountain stage. Belgian rider Lennert Van Eet",0.5529,"Tell me about 2024 UAE Tour. The UAE Tour is an event that will see some of the best riders in the world take on the UAE’s best tracks. The event is a UCI 2.2 rated one-day event with a prize purse of $150,000. The event has been a staple of the UAE calendar since the early 1990s. The UAE was the first country to host the UCI’s premier one-day event. The UAE"
